sqft,bedrooms,bathrooms,age,price
1710,3,2.5,23,208500
1262,3,2.0,50,181500
1786,3,2.5,25,223500
1717,3,1.0,111,140000
2198,4,2.5,26,250000
1362,1,1.5,33,143000
1694,3,2.0,22,307000
2090,3,2.5,53,200000
1774,2,2.0,95,129900
1077,2,1.0,87,118000
1040,3,1.0,61,129500
912,2,1.0,64,144000
1494,3,2.0,20,279500
1253,2,1.5,66,157000
854,2,1.0,97,132000
1004,2,1.0,56,149000
1296,2,2.0,59,90000
1114,3,1.5,22,159000
1339,3,1.0,68,139000
2376,4,3.5,21,325300
1108,3,1.0,96,139400
1795,3,2.0,24,230000
1060,3,1.0,50,129900
1060,3,1.0,58,154000
1600,3,2.0,19,256300
900,3,1.0,75,134800
1704,3,2.0,19,306000
1600,2,1.0,69,207500
520,1,1.0,99,68500
1317,3,1.0,106,40000
1228,3,1.5,60,149350
1234,3,2.0,19,179900
1700,4,1.5,67,165500
1561,2,2.0,21,277500
2452,4,3.5,22,309000
1097,3,1.5,32,145000
1297,3,1.0,72,153000
1057,3,1.0,73,109000
1152,2,2.0,71,82000
1324,3,2.0,61,160000
1328,2,1.5,67,170000
884,2,1.0,43,144000
938,3,1.0,51,130250
1150,3,1.0,67,141000
1752,2,2.0,21,319900
2149,1,1.5,23,239686
1656,3,2.0,20,249700
1452,2,2.0,106,113000
955,3,1.0,60,127000
1470,3,2.0,29,177000
1176,3,1.0,92,114500
816,2,1.0,63,110000
1360,3,1.0,71,130000
1425,3,2.0,62,180500
1739,3,2.5,27,172500
1720,3,2.5,22,196500
780,2,1.0,54,124900
1158,3,1.5,22,158000
1111,3,1.0,106,101000
1370,2,2.0,20,202500
1710,3,2.0,105,140000
2034,3,2.5,29,219500
2473,4,2.5,22,317000
2207,3,2.0,56,180000
1479,3,2.0,23,226000
747,2,1.0,81,80000
2287,3,2.0,73,225000
2223,3,2.0,53,244000
845,2,1.0,44,129500
1718,3,2.5,28,185000
1086,3,1.0,72,144900
1605,3,2.0,111,107400
988,2,1.0,53,91000
952,2,1.0,70,135750
1285,2,1.0,78,127000
1768,4,2.0,58,136500
1230,2,1.5,116,110000
2142,4,2.5,58,193500
1337,2,2.0,28,153500
1563,3,2.0,19,245000
1065,3,1.5,66,126500
1474,3,2.5,31,168500
2417,4,2.5,35,260000
1560,3,2.5,21,174000
1224,2,2.5,17,164500
1526,2,1.0,111,85000
990,3,1.0,32,123600
1040,2,1.0,76,109900
1235,2,1.0,65,98600
964,2,1.0,105,163500
2291,4,2.0,116,133900
1786,3,2.5,29,204750
1470,3,2.5,33,185000
1588,3,2.0,27,214000
960,3,1.0,61,94750
835,2,1.0,106,83000
1225,3,1.5,67,128950
1610,3,2.0,49,205000
1732,3,2.5,41,178000
1535,4,2.0,47,118964
1226,3,2.0,17,198900
1818,4,1.5,95,169500
1992,3,2.5,23,250000
1047,2,1.0,141,100000
789,2,1.0,78,115000
1517,3,2.0,107,115000
1844,3,2.0,49,190000
1855,4,2.0,72,136900
1430,3,2.5,26,180000
2259,3,2.0,73,217000
2320,3,2.5,81,259500
1458,2,2.5,27,176000
1092,3,1.0,64,139000
1125,2,1.5,20,155000
1456,3,2.5,21,163990
988,1,1.0,57,180000
1123,3,1.0,87,100000
1080,3,1.0,68,136000
1199,2,2.0,33,153900
1586,3,2.0,47,181000
754,2,1.0,91,84500
958,2,2.0,50,128000
840,3,1.0,96,87000
1348,3,1.5,60,155000
1053,3,1.5,68,150000
2157,4,2.5,60,226000
2054,3,2.5,26,244000
1327,3,1.0,67,150750
1296,2,2.0,25,220000
1721,3,2.5,58,180000
1682,3,2.0,56,174000
1214,3,2.0,59,143000
1852,3,2.5,27,230000
1764,3,2.5,29,231500
864,3,1.0,55,115000
1734,3,2.0,21,260000
1385,4,2.0,74,166000
1501,3,2.0,27,204000
1709,3,2.0,22,130000
875,2,1.0,95,105000
2035,3,2.5,25,222500
1080,3,1.0,22,141000
1344,3,1.0,90,115000
969,3,1.5,51,122000
1993,4,2.5,55,190000
1252,1,1.0,66,235000
1200,4,1.0,103,125000
1096,2,1.0,102,79000
1040,2,1.0,76,109500
1968,4,2.5,17,269500
1947,3,2.5,22,254900
2462,4,2.5,21,320000
1232,3,2.0,42,162500
1541,3,2.0,21,220000
882,1,1.0,70,103200
1616,3,2.0,100,152000
1355,4,2.0,86,127500
1867,2,1.0,71,190000
2161,3,1.5,19,325624
1720,3,2.5,22,183500
1707,2,2.5,45,228000
1382,2,1.5,85,128500
1656,3,1.0,66,215000
1767,2,2.0,39,239000
1362,3,1.5,65,163000
1651,3,2.0,40,184000
2158,4,2.0,76,243000
2060,4,2.5,38,211000
1920,4,2.0,68,172500
968,2,1.0,103,100000
1525,3,2.5,26,177000
1802,4,1.5,106,200100
1340,3,1.0,69,120000
2082,3,2.5,23,200000
1252,3,1.0,118,127000
1217,3,2.0,36,173000
1656,3,2.5,110,135000
1224,2,1.0,47,153337
2727,3,2.5,94,315000
1479,4,1.5,54,184000
1431,3,2.0,27,192000
864,3,1.0,54,127000
1456,3,2.5,50,148500
1726,3,2.0,19,311872
1713,3,2.0,22,274900
1121,2,2.0,23,140000
1279,3,2.0,49,171500
1310,2,2.0,102,112000
848,1,1.0,22,149000
1284,2,1.5,79,110000
1442,3,2.0,36,180500
1696,3,1.5,64,143900
1100,3,1.0,66,141000
2062,3,2.5,38,277000
1092,3,1.0,62,145000
864,2,1.0,101,98000
1212,3,2.0,17,186000
1852,3,2.5,17,252678
990,3,1.0,31,156000
1392,3,1.5,49,161750
1236,2,1.0,69,134450
1436,3,2.0,22,210000
1328,3,1.0,101,107000
1954,3,1.5,87,311500
1248,2,2.0,21,167240
1498,2,2.0,20,204900
2267,4,2.5,24,200000
1552,3,2.5,51,179900
864,2,1.0,55,97000
1302,3,2.5,55,112000
