sqft,bedrooms,bathrooms,year_built,price,age
1710,3,2.5,2003,208500,23
1262,3,2.0,1976,181500,50
1786,3,2.5,2001,223500,25
1717,3,1.0,1915,140000,111
2198,4,2.5,2000,250000,26
1362,1,1.5,1993,143000,33
1694,3,2.0,2004,307000,22
2090,3,2.5,1973,200000,53
1774,2,2.0,1931,129900,95
1077,2,1.0,1939,118000,87
1040,3,1.0,1965,129500,61
2324,4,3.0,2005,345000,21
912,2,1.0,1962,144000,64
1494,3,2.0,2006,279500,20
1253,2,1.5,1960,157000,66
854,2,1.0,1929,132000,97
1004,2,1.0,1970,149000,56
1296,2,2.0,1967,90000,59
1114,3,1.5,2004,159000,22
1339,3,1.0,1958,139000,68
2376,4,3.5,2005,325300,21
1108,3,1.0,1930,139400,96
1795,3,2.0,2002,230000,24
1060,3,1.0,1976,129900,50
1060,3,1.0,1968,154000,58
1600,3,2.0,2007,256300,19
900,3,1.0,1951,134800,75
1704,3,2.0,2007,306000,19
1600,2,1.0,1957,207500,69
520,1,1.0,1927,68500,99
1317,3,1.0,1920,40000,106
1228,3,1.5,1966,149350,60
1234,3,2.0,2007,179900,19
1700,4,1.5,1959,165500,67
1561,2,2.0,2005,277500,21
2452,4,3.5,2004,309000,22
1097,3,1.5,1994,145000,32
1297,3,1.0,1954,153000,72
1057,3,1.0,1953,109000,73
1152,2,2.0,1955,82000,71
1324,3,2.0,1965,160000,61
1328,2,1.5,1959,170000,67
884,2,1.0,1983,144000,43
938,3,1.0,1975,130250,51
1150,3,1.0,1959,141000,67
1752,2,2.0,2005,319900,21
2149,1,1.5,2003,239686,23
1656,3,2.0,2006,249700,20
1452,2,2.0,1920,113000,106
955,3,1.0,1966,127000,60
1470,3,2.0,1997,177000,29
1176,3,1.0,1934,114500,92
816,2,1.0,1963,110000,63
1842,0,0.5,1981,385000,45
1360,3,1.0,1955,130000,71
1425,3,2.0,1964,180500,62
1739,3,2.5,1999,172500,27
1720,3,2.5,2004,196500,22
2945,3,3.5,2006,438780,20
780,2,1.0,1972,124900,54
1158,3,1.5,2004,158000,22
1111,3,1.0,1920,101000,106
1370,2,2.0,2006,202500,20
1710,3,2.0,1921,140000,105
2034,3,2.5,1997,219500,29
2473,4,2.5,2004,317000,22
2207,3,2.0,1970,180000,56
1479,3,2.0,2003,226000,23
747,2,1.0,1945,80000,81
2287,3,2.0,1953,225000,73
2223,3,2.0,1973,244000,53
845,2,1.0,1982,129500,44
1718,3,2.5,1998,185000,28
1086,3,1.0,1954,144900,72
1605,3,2.0,1915,107400,111
988,2,1.0,1973,91000,53
952,2,1.0,1956,135750,70
1285,2,1.0,1948,127000,78
1768,4,2.0,1968,136500,58
1230,2,1.5,1910,110000,116
2142,4,2.5,1968,193500,58
1337,2,2.0,1998,153500,28
1563,3,2.0,2007,245000,19
1065,3,1.5,1960,126500,66
1474,3,2.5,1995,168500,31
2417,4,2.5,1991,260000,35
1560,3,2.5,2005,174000,21
1224,2,2.5,2009,164500,17
1526,2,1.0,1915,85000,111
990,3,1.0,1994,123600,32
1040,2,1.0,1950,109900,76
1235,2,1.0,1961,98600,65
964,2,1.0,1921,163500,105
2291,4,2.0,1910,133900,116
1786,3,2.5,1997,204750,29
1470,3,2.5,1993,185000,33
1588,3,2.0,1999,214000,27
960,3,1.0,1965,94750,61
835,2,1.0,1920,83000,106
1225,3,1.5,1959,128950,67
1610,3,2.0,1977,205000,49
1732,3,2.5,1985,178000,41
1535,4,2.0,1979,118964,47
1226,3,2.0,2009,198900,17
1818,4,1.5,1931,169500,95
1992,3,2.5,2003,250000,23
1047,2,1.0,1885,100000,141
789,2,1.0,1948,115000,78
